Date : 2023-03-05 19:53:59
Directory : /home/o/Documents/dev/validient/validient-ui-vue
Total : 114 files,  11040 codes, 535 comments, 756 blanks, all 12331 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/o/Documents/dev/validient/validient-ui-vue/src/api/index.tsx                                               | TypeScript React   |          5 |          0 |          2 |          7 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/assets/vue.svg                                              | XML                |          1 |          0 |          0 |          1 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/Logo.vue                                         | vue                |         22 |          0 |          1 |         23 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/Modal.vue                                        | vue                |         43 |          1 |          4 |         48 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/NavBar.vue                                       | vue                |        123 |          4 |          7 |        134 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminCalendar.vue                          | vue                |         11 |          0 |          0 |         11 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminClients.vue                           | vue                |         66 |          1 |          9 |         76 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminHeader.vue                            | vue                |         24 |          0 |          5 |         29 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminOverview.vue                          | vue                |        284 |         28 |          6 |        318 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminPermissions.vue                       | vue                |          5 |          0 |          3 |          8 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminSettings.vue                          | vue                |         44 |          1 |          3 |         48 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/AdminSidebar.vue                           | vue                |         34 |          0 |          3 |         37 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/NewUser.vue                                | vue                |         65 |          4 |          3 |         72 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/appointments/AdminAppointmentDetails.vue   | vue                |        119 |          3 |         10 |        132 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/appointments/AdminAppointments.vue         | vue                |        524 |         22 |         31 |        577 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/appointments/AdminNewAppointment.vue       | vue                |        172 |          1 |         22 |        195 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/AdminCaseDetails.vue                 | vue                |        138 |          4 |          7 |        149 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/AdminCases.vue                       | vue                |        174 |          5 |          3 |        182 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/AdminEditCaseFiling.vue              | vue                |        144 |        214 |          2 |        360 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/AdminNewCaseFiling.vue               | vue                |        300 |          5 |          6 |        311 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/CaseStatuses.vue                     | vue                |         49 |          0 |          4 |         53 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/CaseTypes.vue                        | vue                |         53 |          0 |          3 |         56 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/NewCaseStatus.vue                    | vue                |         82 |          0 |          3 |         85 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/cases/NewCaseType.vue                      | vue                |         82 |          0 |          4 |         86 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminLawyerDetails.vue             | vue                |        111 |          3 |          7 |        121 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminLawyers.vue                   | vue                |        184 |         26 |          6 |        216 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/lawyers/AdminNewLawyer.vue                 | vue                |        311 |         14 |         14 |        339 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/profile/AdminProfile.vue                   | vue                |        112 |         11 |          3 |        126 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/roles/AdminRoles.vue                       | vue                |         50 |          0 |          4 |         54 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/schedules/AdminNewSchedule.vue             | vue                |        120 |          0 |          8 |        128 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/schedules/AdminSchedules.vue               | vue                |        326 |          1 |          8 |        335 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminNewUser.vue                     | vue                |        232 |         11 |          5 |        248 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminUserDetails.vue                 | vue                |         88 |          2 |          8 |         98 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/admin/users/AdminUsers.vue                       | vue                |        336 |          5 |          7 |        348 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientCases.vue                           | vue                |          8 |          0 |          2 |         10 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientHeader.vue                          | vue                |         24 |          0 |          2 |         26 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientOverview.vue                        | vue                |        324 |          0 |         11 |        335 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/ClientSidebar.vue                         | vue                |         36 |          0 |          3 |         39 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/appointments/ClientAppointmentDetails.vue | vue                |         27 |          0 |          6 |         33 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/appointments/ClientAppointmments.vue      | vue                |        516 |         22 |         32 |        570 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/calendar/ClientCalendar.vue               | vue                |         12 |          0 |          4 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/profile/ClientEditProfile.vue             | vue                |         12 |          0 |          4 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/profile/ClientViewProfile.vue             | vue                |         12 |          0 |          4 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleCreate.vue        | vue                |        120 |          0 |          8 |        128 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleEdit.vue          | vue                |         12 |          0 |          4 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientScheduleView.vue          | vue                |         16 |          0 |          4 |         20 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/client/schedules/ClientSchedules.vue             | vue                |        342 |          1 |          9 |        352 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerHeader.vue                          | vue                |         24 |          0 |          5 |         29 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerOverview.vue                        | vue                |        197 |          0 |          9 |        206 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerSidebar.vue                         | vue                |         33 |          0 |          3 |         36 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerAppointments.vue       | vue                |        517 |         22 |         30 |        569 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerAppointmentsNew.vue    | vue                |        172 |          1 |         22 |        195 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerNewAppointments.vue    | vue                |         12 |          0 |          4 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/cases/LawyerCases.vue                     | vue                |         95 |          8 |          7 |        110 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/profile/LawyerProfile.vue                 | vue                |         95 |         28 |          3 |        126 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/schedules/LawyerSchedules.vue             | vue                |        326 |          1 |          8 |        335 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/schedules/LawyerSchedulesNew.vue          | vue                |        120 |          0 |          8 |        128 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/constants/appName.tsx                                       | TypeScript React   |          1 |          0 |          0 |          1 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/constants/stateKeys.tsx                                     | TypeScript React   |          5 |          0 |          2 |          7 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/data/gender.ts                                              | TypeScript         |         18 |          0 |          2 |         20 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/data/sidebarLinks.ts                                        | TypeScript         |        107 |          0 |          7 |        114 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/AdminDashboardLayout.vue                            | vue                |         18 |          0 |          3 |         21 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/AdminLayout.vue                                     | vue                |          5 |          0 |          0 |          5 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/BaseLayout.vue                                      | vue                |          9 |          0 |          0 |          9 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/ClientDashboardLayout.vue                           | vue                |         18 |          0 |          5 |         23 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/ClientLayout.vue                                    | vue                |          5 |          0 |          1 |          6 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/LawyerDashboardLayout.vue                           | vue                |         18 |          0 |          4 |         22 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/layouts/LawyerLayout.vue                                    | vue                |          5 |          0 |          0 |          5 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/main.ts                                                     | TypeScript         |         47 |          1 |          5 |         53 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/plugins/fontawesome.tsx                                     | TypeScript React   |         63 |          6 |          5 |         74 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/plugins/piniaPlugin.tsx                                     | TypeScript React   |          8 |          6 |          3 |         17 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/router/admin.routes.tsx                                     | TypeScript React   |        241 |         18 |          5 |        264 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/router/base.routes.ts                                       | TypeScript         |         81 |          0 |          4 |         85 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/router/client.routes.tsx                                    | TypeScript React   |        109 |         15 |          3 |        127 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/router/index.tsx                                            | TypeScript React   |         10 |          0 |          3 |         13 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/router/lawyer.routes.tsx                                    | TypeScript React   |         68 |         12 |          5 |         85 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/store/useAuthStore.tsx                                      | TypeScript React   |        153 |          1 |          7 |        161 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/style.css                                                   | CSS                |         37 |          3 |          2 |         42 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/typings/index.d.ts                                          | TypeScript         |        180 |          0 |         15 |        195 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/typings/shims-vue.d.ts                                      | TypeScript         |          0 |          4 |          1 |          5 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/typings/v-calendar.d.ts                                     | TypeScript         |          4 |          0 |          1 |          5 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/GlobalUserTypes.tsx                                   | TypeScript React   |          5 |          1 |          4 |         10 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/dateBefoeAfterUtil.tsx                                | TypeScript React   |         34 |          1 |          3 |         38 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/dateMonthYearRetrieve.tsx                             | TypeScript React   |          6 |          0 |          1 |          7 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/debounce.tsx                                          | TypeScript React   |         10 |          0 |          2 |         12 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/formatScheduleTime.tsx                                | TypeScript React   |         15 |          0 |          1 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/getDateStamp.tsx                                      | TypeScript React   |         63 |          0 |          4 |         67 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/getLawyerHourlyRate.tsx                               | TypeScript React   |         37 |          0 |          3 |         40 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/getYearsSince1960.tsx                                 | TypeScript React   |          7 |          0 |          1 |          8 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/utils/roleFilter.tsx                                        | TypeScript React   |         15 |          0 |          1 |         16 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/AboutPage.vue                                         | vue                |          3 |          0 |          0 |          3 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/ContactPage.vue                                       | vue                |          5 |          0 |          1 |          6 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/FAQs.vue                                              | vue                |          3 |          0 |          1 |          4 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/HomePage.vue                                          | vue                |        289 |          6 |          9 |        304 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/LoginPage.vue                                         | vue                |         92 |          0 |          3 |         95 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/Logout.vue                                            | vue                |          5 |          0 |          0 |          5 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/RegisterPage.vue                                      | vue                |        189 |          7 |         11 |        207 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/views/admin/BaseAdmin.vue                                   | vue                |         22 |          0 |          1 |         23 |
| /home/o/Documents/dev/validient/validient-ui-vue/src/vite-env.d.ts                                               | TypeScript         |          0 |          1 |          1 |          2 |
| /home/o/Documents/dev/validient/validient-ui-vue/t.json                                                          | JSON               |         90 |          0 |          1 |         91 |
| /home/o/Documents/dev/validient/validient-ui-vue/tailwind.config.cjs                                             | JavaScript         |         28 |          1 |          2 |         31 |
| /home/o/Documents/dev/validient/validient-ui-vue/tsconfig.json                                                   | JSON with Comments |         21 |          2 |          1 |         24 |
| /home/o/Documents/dev/validient/validient-ui-vue/tsconfig.node.json                                              | JSON               |          9 |          0 |          1 |         10 |
| /home/o/Documents/dev/validient/validient-ui-vue/vite.config.ts                                                  | TypeScript         |         11 |          1 |          2 |         14 |
| Total                                                                                                            |                    |     11,040 |        535 |        756 |     12,331 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
